Company Brand,HeadQuarter,Sector,What it does,Amount($),Stage,Year Funded,Sector_New
Aqgromalin,Chennai,agritech,Cultivating Ideas for Profit,200000.0,Seed,2020,Technology
Krayonnz,Bangalore,edtech,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,100000.0,Seed,2020,Education
PadCare Labs,Pune,hygiene management,Converting bio-hazardous waste to harmless waste,1512135.0,Seed,2020,Health
NCOME,New Delhi,escrow,Escrow-as-a-service platform,400000.0,Seed,2020,Telecommunication
Gramophone,Indore,agritech,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,340000.0,Seed,2020,Technology
qZense,Bangalore,agritech,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,600000.0,Seed,2020,Technology
MyClassboard,Hyderabad,edtech,MyClassboard is a full-fledged School / College Management Software.,600000.0,Series A,2020,Education
Metvy,Gurgaon,networking platform,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,1512135.0,Seed,2020,Technology
Rupeek,Bangalore,fintech,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.",45000000.0,Series C,2020,Finance
Gig India,Pune,crowdsourcing,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,1000000.0,Series A,2020,Finance
Slurrp Farm,Gurgaon,food & bevarages,Slurrp Farm is a children health food brand.,2000000.0,Series A,2020,Food & Beverages
Medfin,Bangalore,healthtech,Medfin is a Discovery platform for medical procedures and financing.,1512135.0,Series A,2020,Health
MasterG,New Delhi,fashion startup,MasterG is a design and skill development organisation.,1512135.0,Seed,2020,Beauty & Fashion
Brila 91,New Delhi,food & bevarages,Bira 91 is a craft beer company.,1200000.0,Seed,2020,Food & Beverages
FoodyBuddy,Belgaum,food industry,FoodyBuddy is a online food delivery portal,600000.0,Seed,2020,Food & Beverages
Zomato,Gurgaon,food delivery,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,660000000.0,Seed,2020,Food & Beverages
OurEye.ai,Bangalore,virtual auditing startup,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.",120000.0,Seed,2020,Business Intelligence
Shiprocket,New Delhi,e-commerce,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,7500000.0,Series C,2020,Commerce
Pine Labs,Noida,fintech,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,1512135.0,Seed,2020,Finance
Moneyboxx Finance,New Delhi,fintech,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,1000000.0,Seed,2020,Finance
EWar,Bangalore,gaming,EWar Games is a e-sports and real-time gaming start-up.,1512135.0,Series A,2020,Sports
SucSEED Indovation,Hyderabad,fintech,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",5000000.0,Seed,2020,Finance
TaxBuddy.com,Mumbai,fintech,TaxBuddy for any tax related issues.,1000000.0,Seed,2020,Finance
Awign Enterprises,Bangalore,work fulfillment,Operations and manpower outsourcing startup,500000.0,Seed,2020,Lifestyle
Circle of Angels,Gurgaon,fintech,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,3000000.0,Seed,2020,Finance
CoinDCX,Mumbai,fintech,CoinDCX is a company that specializes in crypto-enabled financial services.,10000000.0,Series B,2020,Finance
Glance,Bangalore,ai startup,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,145000000.0,Seed,2020,Technology
VerSe Innovation,Bangalore,telecommunication,Owner of Dailyhunt App and I-Pay,100000000.0,Seed,2020,Telecommunication
Voosh,Bangalore,food industry,Building India's largest digital food service brand,1512135.0,Seed,2020,Food & Beverages
Delhivery,Gurgaon,e-commerce,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,1512135.0,Seed,2020,Commerce
Arya,Noida,agritech,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation",21000000.0,Series B,2020,Technology
Pickrr,New Delhi,logistics,Pickrr is an on-demand first mile logistics company,4000000.0,Seed,2020,Automobile
PhonePe,Andheri,fintech,PhonePe is a mobile payment application that enables users to transfer money instantly.,20000000.0,Seed,2020,Finance
Countingwell,Bangalore,edtech,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",1000000.0,Series A,2020,Education
Callify.ai,Mumbai,tech startup,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,560000.0,Seed,2020,Technology
Hudle,New Delhi,sports,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,1512135.0,Series A,2020,Sports
Cover it Up,Chennai,e-commerce,Online portal that churns out high quality products,400000.0,Seed,2020,Commerce
BiteSpeed,Gurgaon,e-commerce,Chat-based commerce for E-commerce brands,275000.0,Seed,2020,Commerce
WakeFit,Bangalore,retail,Wakefitkart is a mattress manufacturing company,20000000.0,Series B,2020,Commerce
Sreyas Holistic Remedies,Hyderabad,medtech,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,1000000.0,Seed,2020,Media and Entertainment
Fleeca India,Jaipur,tyre management,FLEECA is a Tyre Care Provider company.,1512135.0,Seed,2020,Manufacturing
M1xchange,Gurgaon,fintech,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,4500000.0,Seed,2020,Finance
Exotel,Bangalore,cloud company,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,5000000.0,Seed,2020,Technology
PagarBook,Bangalore,software company,"Staff's Salary, Work & Attendance Management Application",15000000.0,Series A,2020,Technology
PointOne Capital,Bangalore,venture capitalist,Pre-seed/Seed focussed VC investor,1512135.0,Seed,2020,Finance
Ayana,Bangalore,renewable player,Ayana Renewable Power is an Indian renewable energy platform,390000000.0,Seed,2020,Energy
Fisdom,Bangalore,fintech,Fisdom is a fintech company that offers investment advisory services through an application.,7000000.0,Seed,2020,Finance
Tinker Coders,Noida,edtech,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,1512135.0,Seed,2020,Education
Infinite Uptime,Pune,iot startup,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,5100000.0,Series B,2020,Technology
HappyLocate,Bangalore,saas startup,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed",500000.0,Series A,2020,Technology
PhonePe,New Delhi,fintech,PhonePe is a mobile payments application that allows the user to transfer money instantly.,700000000.0,Seed,2020,Finance
Loop Health,Pune,healthtech,Loop Health is bringing ease and choice to patients seeking major medical treatments.,2300000.0,Seed,2020,Health
NeoDocs,Mumbai,healthtech,Neodocs analyses medical reports and provides personalised health recommendations remotely.,1512135.0,Seed,2020,Health
The ePlane,Chennai,aero company,Transforming the mobility landscape using aerial transport.,1512135.0,Seed,2020,Transport
TagMango,Mumbai,marketing company,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.",700000.0,Seed,2020,Commerce
The New Shop,New Delhi,retail startup,The New Shop is a chain of high speed retail stores,500000.0,Seed,2020,Commerce
MobiKwik,Gurgaon,fintech,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.",7000000.0,Seed,2020,Finance
DebugsBunny,Pune,edtech,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,100000.0,Seed,2020,Education
BHIVE Investech,Bangalore,co-working startup,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,1000000.0,Seed,2020,Technology
Rivigo,Gurgaon,logistics,Rivigo is a technology-enabled logistics platform provider that offers transport services.,19000000.0,Seed,2020,Automobile
ZipLoan,New Delhi,finance company,ZipLoan is a online lending platform,3000000.0,Seed,2020,Finance
Swipez,Pune,fintech,Swipez is a payment collection platform.,1512135.0,Seed,2020,Finance
Humus,Bangalore,agritech,Farmgate to Retail outlet Agri-Fresh produce supply chain,1512135.0,Seed,2020,Technology
Artivatic.ai,Bangalore,tech company,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",1512135.0,Seed,2020,Technology
Prescinto,Ahmedabad,solar monitoring company,Prescinto provides solutions for solar monitoring and analytics solutions.,1512135.0,Seed,2020,Technology
Toppeq,Mumbai,saas startup,SaaS-based equity management platform,1512135.0,Seed,2020,Technology
Bolo Indya,Gurgaon,video sharing platform,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.",400000.0,Seed,2020,Media and Entertainment
Bombay Play,Bangalore,gaming startup,Bombay Play is a Card and Toy Company Making games for India.,1000000.0,Seed,2020,Sports
FreshToHome,Bangalore,e-commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,1512135.0,Seed,2020,Commerce
KIKO TV,Mumbai,video streaming platform,KIKO TV is an AI-based short live video e-commerce platform.,1512135.0,Seed,2020,Media and Entertainment
Atomberg Technologies,Mumbai,consumer appliances,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances",9000000.0,Series B,2020,Technology
DealShare,Jaipur,e-commerce,DealShare is a Social Commerce Startup,21000000.0,Series C,2020,Commerce
Smallcase,Bangalore,fintech,Changing how India invests in equities,1512135.0,Seed,2020,Finance
CueMath,Bangalore,edtech,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,40000000.0,Series C,2020,Education
Gamerji,Ahmedabad,gaming startup,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.",1512135.0,Seed,2020,Sports
5C Network,Bangalore,healthtech,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",1200000.0,Series A,2020,Health
Ethereum Push Notification Service,Mumbai,blockchain startup,EPNS is a decentralized notification protocol,750000.0,Seed,2020,Technology
Mihup,Kolkata,conversational ai platform,Intelligence-based personal mobile assistant app,1500000.0,Series A,2020,Technology
RuralBasket,"Tirunelveli, Tamilnadu",e-commerce,Naturally grown and healthy products directly from farmers.,500000.0,Seed,2020,Commerce
WayCool Foods,Chennai,agritech,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.",7800000.0,Debt,2020,Technology
Infra.Market,Thane,real estate,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,20000000.0,Series B,2020,Real Estate
Info Edge Venture,Noida,venture capitalist,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",50000000.0,Seed,2020,Finance
Clovia,Noida,e-commerce,Clovia is the online lingerie retailer,4000000.0,Seed,2020,Commerce
Codingal,Bangalore,edtech,Coding education platform for K-12 students,560000.0,Seed,2020,Education
CRED,Bangalore,finance company,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,80000000.0,Series C,2020,Finance
Vistaar Finance,Bangalore,finance company,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,30000000.0,Seed,2020,Finance
Let's Dive,Bangalore,saas platform,A platform for remote employee engagement and building team culture,1700000.0,Seed,2020,Technology
Habitat,Not Specified,edtech,"Habitat, a social learning edtech platform for civil service aspirants",600000.0,Seed,2020,Education
SAWO Labs,Mumbai,saas platform,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,600000.0,Seed,2020,Technology
Signzy,Bangalore,ai platform,Signzy are creating 'building blocks for a Digital Trust system.,3000000.0,Seed,2020,Technology
KopyKitab,Bangalore,edtech,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.",1512135.0,Seed,2020,Education
Kyt,Singapore,edtech,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,2500000.0,Seed,2020,Education
Raskik,Not Specified,fusion beverages,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,1000000.0,Series A,2020,Food & Beverages
GetWork,Gurugram,hr tech,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,40000.0,Seed,2020,Technology
Mobile Premier League (MPL),Bangalore,gaming,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,500000.0,Series B,2020,Sports
Pravasirojgar,Not Specified,job portal,Initiative for blue-collar job workers,33000000.0,Seed,2020,Technology
Omatra Hotels,Kolkata,hospitality,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,1512135.0,Seed,2020,Lifestyle
Awign,Bangalore,job portal,Operations and manpower outsourcing startup,1512135.0,Series B,2020,Technology
NewsReach,Gujarat,digital media,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,1500000.0,Seed,2020,Media and Entertainment
Cashfree,Bangalore,fintech,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,35000000.0,Series B,2020,Finance
Credgenics,New Delhi,fintech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",3000000.0,Series A,2020,Finance
GeoIQ,Bangalore,ai startup,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",300000.0,Seed,2020,Technology
Country Delight,Haryana,dairy startup,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,25000000.0,Series C,2020,Agriculture
Quintype,Bangalore,content management,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",3500000.0,Series A,2020,Technology
CARS24,Haryana,retail,CARS24 is an India-based platform for selling used cars.,200000000.0,Series E,2020,Commerce
Astrogate Labs,Bangalore,spacetech,Astrogate Labs provides high-quality products related to space infrastructure.,1512135.0,Seed,2020,Technology
Power Gummies,New Delhi,healthtech,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,1512135.0,Seed,2020,Health
Cityflo,Mumbai,transportation,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,7000000.0,Series A,2020,Automobile
AlgoBulls,Mumbai,trading platform,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,200000.0,Seed,2020,Commerce
Credgenics,Gurugram,fintech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",3000000.0,Series A,2020,Finance
Inntot,Kerala,tech company,"Inntot Technologies, is a technology driven company.",1512135.0,Seed,2020,Technology
Ensuredit,Gurugram,fintech,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,300000.0,Series A,2020,Finance
Shipsy,Gurugram,ai company,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,6000000.0,Series A,2020,Technology
ERPNext,Mumbai,tech company,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",1000000.0,Seed,2020,Technology
LightSpeedAI,Bangalore,photonics startup,Developer of an optoelectronic processor designed to accelerate AI computations.,1512135.0,Seed,2020,Technology
Grip Invest,Gurugram,fintech,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,1512135.0,Series A,2020,Finance
Unacademy,Bangalore,edtech,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,1512135.0,Seed,2020,Education
Yellow Classes,Gurugram,edtech,New-age fun-learning platform for kids.,1300000.0,Series A,2020,Education
Plum,Bangalore,healthtech,High quality health insurance and health benefits,4100000.0,Seed,2020,Health
STAGE,Indore,entertainment,STAGE is an Indian language content platform for artist-led entertainment.,1000000.0,Seed,2020,Media and Entertainment
Nykaa,Mumbai,cosmetics,Nykaa is an online marketplace for different beauty and wellness products.,1512135.0,Seed,2020,Beauty & Fashion
Kaagaz Scanner,Not Specified,scanning app,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,575000.0,Seed,2020,Technology
NIRA,Bangalore,fintech,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",1000000.0,Seed,2020,Finance
Prolixr,Gurugram,skincare startup,A premium skincare brand committed towards building innovative skin care wellness.,1512135.0,Seed,2020,Beauty & Fashion
Byju's,Bangalore,edtech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,200000000.0,Seed,2020,Education
DaMENSCH,Bangalore,e-commerce,DaMENSCH is a designer and seller of men's apparel.,6000000.0,Seed,2020,Commerce
Country Delight,Haryana,food and beverages,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,25000000.0,Series C,2020,Food & Beverages
SignalX,Hyderabad,ai startup,SignalX offers an artificial intelligence-powered SaaS platform,800000.0,Seed,2020,Technology
Lancify,Bangalore,edtech,Lancify is building the world's strongest young workforce,300000.0,Seed,2020,Education
Krimanshi,Jodhpur,biotechnology company,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,600000.0,Seed,2020,Technology
Instoried,Bangalore,ai startup,Instoried is an augmented writing platform which improves customer interest and engagement.,1000000.0,Series A,2020,Technology
PlayerzPot,Mumbai,gaming startup,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",3000000.0,Series A,2020,Sports
Instamojo,Bangalore,fintech,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.",1512135.0,Seed,2020,Finance
Turtlemint,Mumbai,healthtech,Turtlemint has built Indian personalized insurance platform,30000000.0,Seed,2020,Health
Arata,New Delhi,e-commerce,Arata is an e-commerce site for beauty products and cosmetics.,1000000.0,Series A,2020,Commerce
MPL,Bangalore,gaming startup,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,5000000.0,Seed,2020,Sports
True Balance,Gurugram,fintech,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,28000000.0,Seed,2020,Finance
Thrive,Mumbai,foodtech,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.",1512135.0,Series A,2020,Food & Beverages
Kitchens Centre,New Delhi,proptech,Kitchens Centre offers turnkey solutions to cloud kitchens.,1512135.0,Series A,2020,Technology
Prescribe,Chennai,healthtech,Provide online services to patients by leveraging WhatsApp.,100000.0,Seed,2020,Health
Nepra,Ahmedabad,cleantech,NEPRA Resource Management provides waste management solutions in India.,18000000.0,Series C,2020,Technology
inFeedo,Gurugram,saas startup,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",3200000.0,Seed,2020,Technology
Shilpa Sciences,Bangalore,healthtech,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,1512135.0,Series A,2020,Health
Arzooo,Bangalore,tech startup,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product",1512135.0,Seed,2020,Technology
MindTickle,Pune,saas platform,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,100000000.0,Debt,2020,Technology
Slice,Bangalore,fintech,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,5000000.0,Debt,2020,Finance
Rapawalk,Bangalore,e-commerce,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,300000.0,Seed,2020,Commerce
Oga Fit's,Bangalore,fitness startup,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,1512135.0,Series A,2020,Lifestyle
LAVAL,Bangalore,cosmetics,"Laval Cosmetics, affordable makeup for all ages",1512135.0,Series A,2020,Beauty & Fashion
Stride Ventures,New Delhi,venture capitalist,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,80000000.0,Seed,2020,Finance
BlackSoil,Mumbai,fintech,Blacksoil Advisory is an independent boutique advisory firm.,10000000.0,Seed,2020,Finance
Biocon,Bangalore,healthcare,"Biocon is a healthcare and technology, company focused on biotechnology.",15000000.0,Seed,2020,Health
Clientjoy,Gujarat,saas startup,Client Management Software For Modern Agencies.,800000.0,Series A,2020,Technology
Xpressbees,Pune,e-commerce,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,100000000.0,Seed,2020,Commerce
GalaxyCard,Gurugram,fintech,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,1512135.0,Seed,2020,Finance
Wellness Forever,Mumbai,healthtech,Wellness Forever is the one-stop destination for wellness,100000000.0,Seed,2020,Health
MoooFarm,Gurugram,agritech,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,500000.0,Seed,2020,Technology
BitClass,Bangalore,paas startup,BitClass is a PaaS solution which helps teachers set up their independent live classes,2000000.0,Seed,2020,Technology
Gonuts,Mumbai,entertainment,Personalised Video shoutouts from favourite celebrity.,400000.0,Seed,2020,Media and Entertainment
Uolo,Bangalore,edtech,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,2000000.0,Seed,2020,Education
Kirana King,"Jaipur, Rajastan",retail,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",900000.0,Series A,2020,Commerce
Jade Forest,Delhi,beverages,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",250000.0,Seed,2020,Food & Beverages
iKure,Kolkata,healthtech,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,1512135.0,Seed,2020,Health
FrontRow,Bangalore,edtech,"Comprehensive courses, taught by idols.",3200000.0,Seed,2020,Education
Reliance Retail,Mumbai,e-commerce,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,10000000.0,Seed,2020,Commerce
TUBBR,"Frisco, Texas, United States",social media,World's First Personal Social Network,1512135.0,Seed,2020,Media and Entertainment
Ather Energy,Bangalore,automobiles,Ather Energy is a manufacturer of electric scooters.,35000000.0,Series D,2020,Manufacturing
Routematic,Bangalore,saas startup,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,2000000.0,Seed,2020,Technology
LivFin,New Delhi,fintech,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),4700000.0,Seed,2020,Finance
Universal Sportsbiz Pvt Ltd,Bangalore,fashion startup,A fashion startup based in Bengaluru.,1512135.0,Seed,2020,Beauty & Fashion
Lattu Kids,Mumbai,edtech,Lattu kids is an edutainment platform for preschool kids.,1512135.0,Seed,2020,Education
Eggoz,Indore,food & bevarages,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",1500000.0,Series A,2020,Food & Beverages
Steradian Semiconductors,Bangalore,deeptech,Semiconductor company focused on CMOS millimeter wave products for Radar.,1512135.0,Seed,2020,Technology
CHARGE+ZONE,Gujarat,ev startup,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",3000000.0,Series A,2020,Transport
Stones2milestones,Gurugram,edtech,Stones2milestones is India (Delhi) Based EdTech Company,2000000.0,Seed,2020,Education
Udacity,California,edtech,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",75000000.0,Debt,2020,Education
AjnaLens,Thane,ar/vr startup,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",1000000.0,Seed,2020,Technology
Gully Network,Bangalore,e-commerce,Gully Network is a tech-enabled network of mid-sized grocery stores.,1200000.0,Series A,2020,Commerce
TurboHire,Hyderabad,recruitment startup,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,1000000.0,Seed,2020,Government
Traya,Mumbai,healthtech,work with our customers closely to get their hair health sorted for long-term effective results,1512135.0,Seed,2020,Health
Charcoal Eats,Mumbai,qsr startup,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",2000000.0,Seed,2020,Food & Beverages
Mitron TV,Bangalore,video platform,Mitron is a free short videoplatform for next generation,1512135.0,Seed,2020,Media and Entertainment
Svami,Mumbai,food & bevarages,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,800000.0,Seed,2020,Food & Beverages
Dhurnia,"Dhingsara, Haryana",edtech,Developer of an online learning platform intended for various competitive exam preparations.,100000.0,Seed,2020,Education
Expertrons,Mumbai,edtech,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,1512135.0,Seed,2020,Education
Leena AI,"New York, United States",ai startup,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,8000000.0,Seed,2020,Technology
Bizlog,Bangalore,logistics,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,1000000.0,Seed,2020,Automobile
Tamasha.live,Mumbai,gaming,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.",300000.0,Seed,2020,Sports
Fedo,Bangalore,ai startup,Artificial Intelligence based Credit Score for Health,1000000.0,Seed,2020,Technology
FabHotels,Gurugram,hospitality,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,1000000.0,Seed,2020,Lifestyle
Freshokartz,"Jaipur, Rajastan",agritech,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides",1000000.0,Series A,2020,Technology
FlexiLoans,Mumbai,fintech,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",6000000.0,Debt,2020,Finance
Agrix,Patna,agritech,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.",1512135.0,Seed,2020,Technology
BharatAgri,Pune,agritech,A Smart Farming Technology Platform for Indian Farmers,1512135.0,Series A,2020,Technology
FreshtoHome,Bangalore,e-commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,121000000.0,Series C,2020,Commerce
Credable,Mumbai,fintech,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,4500000.0,Seed,2020,Finance
Railofy,Mumbai,transportation,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,5000000.0,Seed,2020,Automobile
Finova Capital,"Jaipur, Rajastan",fintech,Finova Capital is a non-banking financial company.,55000000.0,Seed,2020,Finance
Teachmint,Bangalore,edtech,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,3500000.0,Seed,2020,Education
Peel-Works,Mumbai,e-commerce,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,3000000.0,Seed,2020,Commerce
Janani,Bangalore,fertility tech,Janani aims to make the process of infertility treatment and assisted fertilisation easier,200000.0,Seed,2020,Health
Credgenics,Gurugram,fintech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",3300000.0,Seed,2020,Finance
Finelistings,New Delhi,luxury car startup,A Used Luxury Car Marketplace,1512135.0,Seed,2020,Transport
Wellversed,New Delhi,healthcare,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,1512135.0,Series A,2020,Health
Jumbotail,Bangalore,e-commerce,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",11000000.0,Series B,2020,Commerce
Winzo,New Delhi,gaming startup,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,2000000.0,Seed,2020,Sports
mCaffeine,Mumbai,cosmetics,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",5000000.0,Series B,2020,Beauty & Fashion
Pocket FM,Bangalore,fm,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,5000000.0,Series A,2020,Media and Entertainment
Snackible,Mumbai,healthcare,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,1512135.0,Seed,2020,Health
FreshtoHome,Bangalore,e-commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,16000000.0,Seed,2020,Commerce
Jumbotail,Bangalore,retail,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,11000000.0,Series B,2020,Commerce
Nykaa,Mumbai,e-commerce,Nykaa is an online marketplace for different beauty and wellness products.,1512135.0,Seed,2020,Commerce
TagZ Foods,Bangalore,food,TagZ Foods is a supplier of snacks and food products.,1512135.0,Seed,2020,Food & Beverages
