Company Brand,HeadQuarter,Sector,What it does,Amount($),Stage,Year Funded,Sector_New
Fusion Microfinance,New Delhi,banking,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,75972000.0,Series E,2018,Finance
Any time Doctor,Chennai,software,Anytime Doctor is a Software company.,1512135.0,Seed,2018,Technology
Go Payments,Mumbai,information services,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,1512135.0,Corporate Round,2018,Business Intelligence
Guiddoo World,Mumbai,audio,We build In-Destination Experiences!,11688.0,Seed,2018,Lifestyle
ION Energy,Mumbai,energy,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,15209.01,Unknown,2018,Energy
UnoTag,Bangalore,artificial intelligence,SaaS to verify counterfeit,1461.0,Seed,2018,Technology
CivilCops,Gurgaon,government,Gov-Tech,1461.0,Seed,2018,Government
Rockmetric,Mumbai,information technology,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",1512135.0,Grant,2018,Technology
Classworks India,Chennai,education,"Saas, Web App, Mobile App, School Education",1461.0,Undisclosed,2018,Education
Snapmint,Mumbai,consumer lending,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",1512135.0,Seed,2018,Finance
artbandhu,Bangalore,digital media,Ai platform for Art and Creative Community,219.15,Seed,2018,Media and Entertainment
Survaider,Bengaluru,business intelligence,Stethoscope for customer feedback !,7305.0,Seed,2018,Business Intelligence
Credy,Bengaluru,credit,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,20454.0,Seed,2018,Finance
iChamp,Gurgaon,e-learning,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,73050.0,Seed,2018,Education
Qandle,Gurgaon,software,A cloud-based HR management and employee engagement platform.,17532.0,Seed,2018,Technology
Avishkaar Box,Delhi,children,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",730500.0,Seed,2018,Lifestyle
Gegadyne Energy,Mumbai,automotive,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,1512135.0,Seed,2018,Automobile
HyperXchange,Pune,e-commerce,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,14610.0,Series A,2018,Commerce
Deftouch,Bangalore,fintech,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,1512135.0,Seed,2018,Finance
Doodhwala,Bengaluru,food delivery,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,32142.0,Seed,2018,Food & Beverages
DronaHQ,Mumbai,mobile,DronaHQ is an enterprise mobile engagement platform.,7305.0,Seed,2018,Technology
FastFox,Gurgaon,rental,FastFox: Market Network for Home Rentals (India),1461000.0,Series A,2018,Real Estate
BuyForexOnline,Bangalore,travel,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,29220.0,URL,2018,Lifestyle
